Season,rows,unique_teams
1999,314,314
2000,316,316
2001,319,319
2002,327,327
2003,327,327
2004,326,326
2005,330,330
2006,334,334
2007,336,336
2008,341,341
2009,344,344
2010,347,347
2011,345,345
2012,345,345
2013,347,347
2014,351,351
2015,351,351
2016,351,351
2017,351,351
2018,351,351
2019,353,353
2020,353,353
2021,357,357
2022,358,358
2023,363,363
2024,362,362
2025,364,364
