objective,selected_model_family,selected_calibration,test_log_loss,test_auc,upset_acc_seedgap_ge_5,guardrail_min_upset,best_observed_upset,selection_rule,champ_top1_rate,champ_top4_rate,top4_cutoff_for_eligibility
bracket,logistic,sigmoid,0.5781520573649163,0.7626420138115393,0.7628205128205128,0.7428205128205128,0.7628205128205128,best_log_loss_within_upset_guardrail_and_tiebreak_simplicity,,,
champion,logistic,isotonic,0.0539856385839534,0.9225746268656716,,,,best_log_loss_within_top2_top4rate_and_tiebreak_simplicity,0.5,0.75,0.5
