objective,selected_model_family,selected_calibration,test_log_loss,test_auc,upset_acc_seedgap_ge_5,champ_top1_rate,champ_top4_rate
bracket,logistic,sigmoid,0.5781520573649163,0.7626420138115393,0.7628205128205128,,
champion,logistic,isotonic,0.053985638583953416,0.9225746268656717,,0.5,0.75
