item,value
build_timestamp_utc,2026-03-19T03:33:27.059676+00:00
enabled_missing_stats_count,120
original_master_feature_count,69
updated_core_feature_count,189
historical_team_season_rows,7628
historical_bracket_rows,2898
historical_champion_rows,1472
