feature_name,feature_group,target_game_univ_auc,target_champ_univ_auc,target_roundflags_auc_avg,target_game_perm_importance_pctile,target_champ_perm_importance_pctile,target_roundflags_perm_importance_pctile,overall_recommendation
kp_rankadjde,kenpom,0.7231688306492519,0.8012068965517242,0.7723231070736825,100.0,22.857142857142858,10.0,situational
rs_opp_ft_rate,regular_season,0.5771863320697599,0.6554075235109718,0.607785605229255,98.57142857142858,48.57142857142857,43.57142857142857,situational
kp_adjem,kenpom,0.7942085186661656,0.9301253918495298,0.8659959531541981,97.14285714285714,98.57142857142858,97.85714285714286,situational
rs_drb,regular_season,0.5675135418586674,0.7061755485893417,0.6064504500403054,95.71428571428572,81.42857142857143,51.42857142857142,situational
rs_opp_fg2_pct,regular_season,0.6108555863709343,0.6912382445141065,0.639749370188302,94.28571428571428,4.285714285714286,67.14285714285714,situational
kp_adjoe,kenpom,0.7476022825289186,0.8781974921630094,0.795065201054136,92.85714285714286,84.28571428571429,92.49999999999999,situational
rs_pf,regular_season,0.5808372638420347,0.6464890282131661,0.6081139910497764,91.42857142857143,88.57142857142857,88.57142857142857,situational
kp_rankadjem,kenpom,0.7806654692963092,0.9334482758620689,0.8695560689286485,90.0,48.57142857142857,42.5,strong_but_unstable
rs_efg_pct,regular_season,0.6001606971991345,0.7063479623824451,0.646554127843417,88.57142857142857,15.714285714285714,54.464285714285715,situational
rs_ast,regular_season,0.6211594488667133,0.7412539184952978,0.6404255110993268,87.14285714285714,31.428571428571427,82.14285714285714,situational
kp_oe,kenpom,0.684805827392919,0.8392789968652037,0.7390441761715298,85.71428571428571,91.42857142857143,46.07142857142857,situational
rs_ftm,regular_season,0.5112171312549384,0.571974921630094,0.5194787359989663,84.28571428571429,48.57142857142857,31.785714285714285,low_value
rs_margin_std,regular_season,0.5605655550745117,0.6614420062695925,0.5579284585056327,82.85714285714286,28.57142857142857,73.57142857142857,situational
rs_ast_to_ratio,regular_season,0.6438818613631828,0.7031347962382446,0.6512525821308857,81.42857142857143,48.57142857142857,80.71428571428571,situational
rs_opp_fga3,regular_season,0.5075042829566189,0.5004545454545455,0.5114203869933839,80.0,30.0,51.78571428571429,low_value
