Season,TeamName,Tempo,RankTempo,AdjTempo,RankAdjTempo,OE,RankOE,AdjOE,RankAdjOE,DE,RankDE,AdjDE,RankAdjDE,AdjEM,RankAdjEM,Seed
2026,Tarleton St.,70.2,86,69.2,79,101.5,308,104.2,265,106.5,123,108.6,159,-4.4,52,
2026,TCU,69.7,108,67.7,159,110.9,124,115.4,81,102,44,97.8,22,17.6,11,9
2026,Temple,65.4,319,64.9,308,111.3,117,111.7,126,108.6,184,111.2,215,0.5,42,
2026,Tennessee,67.3,230,65,307,117,46,121.1,37,102.3,50,95,15,26.1,3,6
2026,Tennessee Martin,66,300,64.1,337,102.6,297,100.4,320,97.8,14,105.2,98,-4.8,49,
2026,Tennessee St.,70.6,74,70.2,36,110.2,133,109.1,173,104,76,110.9,212,-1.8,44,15
2026,Tennessee Tech,68.3,188,66.8,213,103.1,286,102.5,294,110.3,227,115.8,305,-13.3,60,
2026,Texas,68.6,170,66.9,206,119.5,22,125,13,111.2,250,105.9,112,19.1,8,11
2026,Texas A&M,72.6,15,70.5,29,118.1,36,119.7,49,107.7,156,101,41,18.7,8,10
2026,Texas A&M Corpus Chris,66.6,267,66,255,102.8,292,104.8,256,103.7,73,105.1,96,-0.3,40,
2026,Texas Southern,70.6,70,68.7,101,103,289,101.7,306,111,244,115,294,-13.3,57,
2026,Texas St.,67.3,229,66,254,105.5,241,104,272,106.3,117,110.6,209,-6.6,47,
2026,Texas Tech,68,203,66.2,243,117.8,39,125,12,106.8,131,99.8,33,25.2,3,5
2026,The Citadel,64.8,335,64.3,330,102.8,293,100.6,318,119.5,357,120.9,352,-20.3,57,
2026,Toledo,69.4,118,67.8,153,114.9,63,114.5,90,111.5,256,111.3,217,3.2,27,
2026,Towson,63.9,358,63.4,346,104.6,260,105.7,237,103.5,69,104.7,90,1,34,
2026,Troy,67,245,64.9,309,112.2,102,110.7,141,106.4,120,109,166,1.7,30,13
2026,Tulane,67.9,207,66.9,208,105.2,248,107.7,196,110.2,223,111.3,219,-3.6,39,
2026,Tulsa,68.6,169,67.9,145,121.6,7,121.2,34,106.5,122,108.2,148,13,12,
2026,UAB,70.3,82,69.1,85,109.7,144,109.8,156,104.5,82,106.4,119,3.4,25,
2026,UC Davis,71.3,40,68.9,90,106.3,222,108,188,106,110,107.1,133,0.9,31,
2026,UC Irvine,70.7,69,68.2,133,104,273,104.9,255,97.1,8,98.7,26,6.2,19,
2026,UC Riverside,71.1,52,68.4,120,100.8,317,104,271,111.6,259,111.7,227,-7.7,40,
2026,UC San Diego,69.8,102,67.2,190,106.9,210,107.8,193,101.2,38,103.3,68,4.5,22,
2026,UC Santa Barbara,67.1,242,64.4,327,112.7,93,113.7,97,108.1,168,110.6,208,3.1,23,
2026,UCF,70.6,71,69.2,78,113.6,79,120.5,40,110.3,229,105.4,101,15.1,9,10
2026,UCLA,65.7,310,64.6,318,117.1,45,123.7,22,107.2,138,102.1,53,21.6,4,7
2026,UMass Lowell,68.9,157,69.1,84,104.5,262,102.6,291,112.4,276,117.3,324,-14.7,42,
2026,UMBC,66.4,279,66.2,242,112.8,92,108.2,183,101.5,41,109.9,192,-1.7,28,16
2026,UNC Asheville,67.1,240,64.8,314,105.7,238,104.7,258,109,194,111.4,221,-6.7,33,
2026,UNC Greensboro,68.6,168,67.6,163,110.8,125,107.6,198,118.1,350,119.8,348,-12.2,36,
2026,UNC Wilmington,66.2,287,65.1,303,113.8,76,111.9,119,102.1,48,106.1,114,5.8,18,
2026,UNLV,70.6,72,69.8,55,111,121,115,84,111.2,251,109.1,172,5.9,17,
2026,USC,71,53,70.6,27,107.5,196,113.5,101,108.7,185,102.7,62,10.8,11,
2026,USC Upstate,69.2,132,67.5,174,100.7,319,99,337,107.6,149,111.4,220,-12.4,33,
2026,UT Arlington,66.5,271,64.8,311,100.7,320,102.6,292,100.5,32,101.5,47,1.1,22,
2026,UT Rio Grande Valley,66.5,269,66.3,230,109.7,146,111,136,104.7,86,106.4,120,4.6,16,
2026,Utah,68,200,66,258,108.7,168,114.7,85,116,336,111,213,3.7,16,
2026,Utah St.,68.3,185,67.7,158,119.6,19,122.1,28,103.4,68,101.4,45,20.7,4,9
2026,Utah Tech,68.1,197,66.3,236,106.9,209,110.9,138,110.2,222,112.8,252,-1.9,21,
2026,Utah Valley,69.4,123,68.7,108,110.6,129,112.8,108,100.2,30,104,76,8.8,12,
2026,UTEP,66,299,65.5,282,99.8,329,100.8,313,109.4,207,110.4,203,-9.6,26,
2026,UTSA,69.6,113,68.5,114,97,345,99.6,326,119,354,118.3,333,-18.7,28,
2026,Valparaiso,66.1,291,65.1,301,105.9,230,108.1,185,106.3,118,107.2,134,0.9,18,
2026,Vanderbilt,70.8,62,68.8,98,121.2,9,126.8,7,105.9,109,99.3,31,27.5,1,5
2026,VCU,69.4,124,68.5,116,117.8,40,119.9,46,103.2,66,102.7,60,17.2,4,11
2026,Vermont,64.4,346,64.8,310,110.6,127,106.1,226,105.3,98,112.6,247,-6.5,20,
2026,Villanova,66.5,276,65.2,296,115.1,61,120.4,41,105.1,95,100.4,35,20,3,8
2026,Virginia,66.5,272,65.7,271,119.3,23,122.5,27,100.9,36,95.8,16,26.7,1,3
2026,Virginia Tech,67.9,206,67,197,112.9,91,117.2,62,107.6,147,103.6,70,13.6,3,
2026,VMI,67.6,219,66.7,217,101.4,310,98.6,338,123.3,362,124.9,364,-26.3,21,
2026,Wagner,65.3,324,65.4,286,104.8,256,102.5,293,109.2,201,115.2,296,-12.7,20,
2026,Wake Forest,69.5,116,68.1,134,112.2,101,117,68,110.1,220,105.6,104,11.4,4,
2026,Washington,67.9,205,67.1,194,112.3,98,117.2,63,107.8,159,102.1,55,15.1,2,
2026,Washington St.,68.9,154,67.8,147,109.6,147,113.9,96,112.2,273,111.6,225,2.3,7,
2026,Weber St.,69.8,99,68.5,119,111.8,107,111.6,129,111.9,268,114.2,280,-2.6,11,
2026,West Georgia,70.2,87,69.2,81,106,229,101.6,307,113.4,299,114.1,276,-12.5,15,
2026,West Virginia,64,355,62.2,364,106.8,211,110,154,99.9,28,96.7,17,13.3,2,
2026,Western Carolina,68.8,162,67.8,155,111.2,118,109.2,168,113.6,301,114.7,288,-5.5,11,
2026,Western Illinois,67.3,228,66.5,226,93.6,359,92.9,359,116.4,337,121.3,355,-28.4,13,
