season,round,baseline_points,weighted_points,delta_points,baseline_error,weighted_error,delta_error
2023,1,24,24,0,16,16,0
2023,2,18,22,4,14,10,-4
2023,3,8,8,0,12,12,0
2023,4,0,0,0,8,8,0
2023,5,0,0,0,4,4,0
2023,6,0,0,0,2,2,0
2024,1,20,23,3,24,18,-6
2024,2,26,26,0,6,6,0
2024,3,12,8,-4,10,12,2
2024,4,16,16,0,4,4,0
2024,5,16,32,16,2,0,-2
2024,6,0,32,32,2,0,-2
2025,1,25,26,1,14,12,-2
2025,2,18,22,4,14,10,-4
2025,3,28,24,-4,2,4,2
2025,4,32,32,0,0,0,0
2025,5,32,0,-32,0,4,4
2025,6,0,0,0,2,2,0
