Abbrev,Stat Name,Description,Unit,Pctile Dir,Available In,Data Source
%AST ATB3,% of Assists on Above Break 3s,The percentage of total assists that were assists on above the break 3s.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
%AST ATR2,% of Assists At The Rim,The percentage of total assists that were assists at the rim.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
%AST RIM+3s,% of Assists At The Rim + on 3s,The percentage of total assists that were assists either at the rim or on 3-pointers.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP",pbp
%AST RIM+PAINT,% of Assists At The Rim + In The Paint,The percentage of total assists that were assists in the paint (including shots at the rim).,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP",pbp
%AST C3,% of Assists on Corner 3s,The percentage of total assists that were assists on corner 3s.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
%AST DUNK,% of Assists on Dunks,The percentage of total assists that were assists on dunks.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
%AST PAINT2,% of Assists In The Paint,The percentage of total assists that were assists in the paint (not at the rim).,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
%AST MID2,% of Assists In The Midrange,The percentage of total assists that were assists in the midrange.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
%AST2,% of Assists on 2s,The percentage of total assists that were assists on made 2-pointers.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
%AST3,% of Assists on 3s,The percentage of total assists that were assists on made 3-pointers.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
HC FREQ,% Frequency in Half Court,The percentage of the team's offensive chances that were marked as half court (as opposed to transition or putback) chances.,Percentage,Highest % = 100th,"Team Agg PBP, Team Game PBP",pbp
TR FREQ,% Frequency in Transition,The percentage of the team's offensive chances that were marked as transition (as opposed to half court or putback) chances.,Percentage,Highest % = 100th,"Team Agg PBP, Team Game PBP",pbp
PB FREQ,% Frequency on Putbacks,The percentage of the team's offensive chances that were marked as putback(as opposed to half court or transition ) chances.,Percentage,Highest % = 100th,"Team Agg PBP, Team Game PBP",pbp
POSS%,% Time in Possession,"Of all time where either team has possession (so excluding time when neither team has possession), what percentage belongs to this team.",Percentage,Highest % = 100th,"Team Agg PBP, Team Game PBP",pbp
DUNK FGA%,% of Shots as Dunks,The percentage of shots taken that were dunk attempts.,Percentage,Highest % = 100th,"Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
LAYUP FGA%,% of Shots as Layups,Percentage of the players shots taken as layups.,Percentage,Highest % = 100th,"Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
LAY+DUNK FGA%,% of Shots as Layups + Dunks,Percentage of the players shots taken as layups and dunks.,Percentage,Highest % = 100th,"Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
% Shots Center,% of Shots from Center of Court,Percentage of shots taken from the center of the court. This includes all shots where the shooter is positioned within 1 foot in either direction of the imaginary centerline of the court connecting the two rims.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
% Shots Left,% of Shots from Left Side of Court,Percentage of shots taken from the left side of the court. This includes all shots where the shooter is positioned more than 1 foot to the left of the court's imaginary centerline.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
% Shots Right,% of Shots from Right Side of Court,Percentage of shots taken from the right side of the court. This includes all shots where the shooter is positioned more than 1 foot to the right of the court's imaginary centerline.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
%POTOV,Points off Turnovers % of Total Points,The percentage of all points scored by the player that were points off turnovers.,Percentage,Highest % = 100th,"Team Game, Team Agg",box_score
%2PTS,% of Total Points from 2-Pointers,The percentage of points scored by the player that were scored on two-point field goals.,Percentage,Highest % = 100th,"Team Game, Player Agg, Team Agg, Player Game",box_score
%3PTS,% of Total Points from 3-Pointers,The percentage of points scored by the player that were scored on three-point field goals.,Percentage,Highest % = 100th,"Team Game, Player Agg, Team Agg, Player Game",box_score
%FTPTS,% of Total Points from Free Throws,The percentage of points scored by the player that were scored on free throws.,Percentage,Highest % = 100th,"Team Game, Player Agg, Team Agg, Player Game",box_score
%PITP,Points in the Paint % of Total Points,The percentage of all points scored by the player that were points in the paint.,Percentage,Highest % = 100th,"Team Game, Player Agg, Team Agg, Player Game",box_score
%SCP,2nd Chance Points % of Total Points,The percentage of all points scored by the player that were second chance points.,Percentage,Highest % = 100th,"Team Game, Player Agg, Team Agg, Player Game",box_score
%FBP,Fast Break Points % of Total Points,The percentage of all points scored by the player that were fast break points.,Percentage,Highest % = 100th,"Team Game, Player Agg, Team Agg, Player Game",box_score
TOV 10 SECS,10 Second Violation,The total number of turnovers tagged by the scorer as a 10 second violation by the team.,Integer,Lowest # = 100th,"Team Agg PBP, Team Game PBP",pbp
