run_id,objective,model_family,feature_set,train_seasons,test_seasons,test_log_loss,test_auc,upset_acc_seedgap_ge_5,champ_top1_rate,champ_top4_rate,selected_for_next_stage,notes
BRK_BASE_CORE,bracket,logistic,core,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2021,2022|2023|2024|2025,0.5745803742587721,0.7738638895076855,0.782051282051282,,,yes,rows_train=2362; rows_test=536; n_features=18
BRK_BASE_EXT,bracket,logistic,extended,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2021,2022|2023|2024|2025,0.5782955966497552,0.7702300066830029,0.75,,,yes,rows_train=2362; rows_test=536; n_features=60
BRK_BASE_EXP,bracket,logistic,experimental,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2021,2022|2023|2024|2025,0.5814091364953996,0.7699654711517041,0.7564102564102564,,,no,rows_train=2362; rows_test=536; n_features=73
CHAMP_BASE_CORE,champion,logistic,core,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2021,2022|2023|2024|2025,0.0524263377863845,0.9319029850746268,,0.0,0.5,yes,rows_train=1200; rows_test=272; n_features=15
CHAMP_BASE_EXT,champion,logistic,extended,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2021,2022|2023|2024|2025,0.0661739964421031,0.9085820895522388,,0.25,0.75,no,rows_train=1200; rows_test=272; n_features=57
CHAMP_BASE_EXP,champion,logistic,experimental,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2021,2022|2023|2024|2025,0.0653853983046267,0.9001865671641791,,0.25,0.75,yes,rows_train=1200; rows_test=272; n_features=70
BRK_TREE_SET1,bracket,tree,core,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2021,2022|2023|2024|2025,0.5999801591614367,0.7693110937848072,0.7724358974358975,,,pending_final_selection,rows_train=2362; rows_test=536; n_features=18
BRK_TREE_SET2,bracket,tree,extended,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2021,2022|2023|2024|2025,0.6132447566208261,0.763741924704834,0.7532051282051282,,,pending_final_selection,rows_train=2362; rows_test=536; n_features=60
CHAMP_TREE_SET1,champion,tree,core,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2021,2022|2023|2024|2025,0.0991736856242026,0.8871268656716418,,0.0,0.75,pending_final_selection,rows_train=1200; rows_test=272; n_features=15
CHAMP_TREE_SET2,champion,tree,experimental,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2021,2022|2023|2024|2025,0.1267977073988494,0.9319029850746269,,0.25,0.5,pending_final_selection,rows_train=1200; rows_test=272; n_features=70
